haltung,pdf_file,pdf_kb,text_len,format,entries,readable
"244587-244586","20200609_244587-244586.pdf",1226,5966,Fretz_Format,6,True
"244588-244587","20200609_244588-244587.pdf",1284,5474,Fretz_Format,8,True
"244589-244583","20200609_244589-244583.pdf",1670,6330,Fretz_Format,10,True
"246189-35514","20180523_246189-35514.pdf",3529,9823,Fretz_Format,14,True
"246189-626967","20210506_246189-626967.pdf",756,10077,Unknown,11,True
"250185-242584","20221206_250185-242584.pdf",433,6490,Fretz_Format,5,True
"251783-251784","20180614_251783-251784.pdf",400,6546,Fretz_Format,6,True
"251784-251785","20180614_251784-251785.pdf",219,4946,Fretz_Format,4,True
"251785-6196","20180614_251785-6196.pdf",968,11963,Fretz_Format,15,True
"2524-2835","20230915_2524-2835.pdf",1339,6000,Fretz_Format,3,True
"258329-80876","20250929_258329-80876.pdf",1414,9516,Fretz_Format,7,True
"2594-7366","20230921_2594-7366.pdf",1317,8865,Fretz_Format,6,True
"2600-2603","20200709_2600-2603.pdf",1379,6165,Fretz_Format,2,True
"2603-7403","20200709_2603-7403.pdf",945,5695,Fretz_Format,2,True
"2670-2111","20180314_2670-2111.pdf",5736,18087,Fretz_Format,25,True
"2682-6955","20230920_2682-6955.pdf",1376,9253,Fretz_Format,7,True
"2683-2176","20230920_2683-2176.pdf",799,6160,Fretz_Format,3,True
"2748-3490","20200609_2748-3490.pdf",1007,5499,Fretz_Format,8,True
"2749-2748","20200609_2749-2748.pdf",1207,6307,Fretz_Format,10,True
"2750-5173","20200609_2750-5173.pdf",1178,5464,Fretz_Format,8,True
"2751-2750","20200609_2751-2750.pdf",842,5412,Fretz_Format,7,True
"27550-35526","20220522_27550-35526.pdf",497,16636,Unknown,24,True
"275814-275815","20200702_275814-275815.pdf",955,5343,Fretz_Format,2,True
"275815-2413","20200702_275815-2413.pdf",6105,19863,Fretz_Format,8,True
"27609-35842","20230818_27609-35842.pdf",3828,8687,IKAS_Normal,6,True
"2767-3117","20200609_2767-3117.pdf",1013,5461,Fretz_Format,8,True
"2769-3497","20200609_2769-3497.pdf",1123,5461,Fretz_Format,8,True
"2809-2272","20230918_2809-2272.pdf",1186,10907,Fretz_Format,9,True
"2809.01-2809","20230918_2809.01-2809.pdf",427,5481,Fretz_Format,3,True
"2809.02-2809","20230918_2809.02-2809.pdf",393,5482,Fretz_Format,3,True
"2810-2819","20200709_2810-2819.pdf",2677,11088,Fretz_Format,4,True
"2866-1780","20230913_2866-1780.pdf",1700,6676,Fretz_Format,4,True
"2867-2123","20180607_2867-2123.pdf",2237,7925,Fretz_Format,8,True
"2868-2869","20230913_2868-2869.pdf",1785,6137,Fretz_Format,3,True
"287422-287426","20251001_287422-287426.pdf",1109,8303,Fretz_Format,7,True
"287425-81162","20251002_287425-81162.pdf",1141,10576,Fretz_Format,11,True
"287426-287427","20251001_287426-287427.pdf",1059,7772,Fretz_Format,6,True
"287427-287428","20251001_287427-287428.pdf",1033,7055,Fretz_Format,5,True
"287428-287429","20251001_287428-287429.pdf",1084,8557,Fretz_Format,8,True
"287429-287425","20251001_287429-287425.pdf",1179,9417,Fretz_Format,8,True
"287432-287433","20251001_287432-287433.pdf",1015,7004,Fretz_Format,5,True
"287433-287434","20251001_287433-287434.pdf",1132,9584,Fretz_Format,8,True
"287434-81150","20251001_287434-81150.pdf",1012,8267,Fretz_Format,8,True
"28865-29629","20180516_28865-29629.pdf",3196,12334,Fretz_Format,20,True
"28883-36448","20230825_28883-36448.pdf",9821,31272,IKAS_Normal,33,True
"28920-35503","20230928_28920-35503.pdf",24268,50612,IKAS_Normal,65,True
"28945-33200","20230901_28945-33200.pdf",27387,39749,IKAS_Normal,42,True
"28947-35976","20230823_28947-35976.pdf",6040,10599,IKAS_Normal,6,True
"28965-35599","20190605_28965-35599.pdf",1014,6331,Fretz_Format,2,True
"29069-7.25486","20230515_29069-7.25486.pdf",2111,8747,Fretz_Format,7,True
"29081-35600","20190605_29081-35600.pdf",953,5012,Fretz_Format,2,True
"29120-03.27666","20250130_29120-03.27666.pdf",3362,36310,Fretz_Format,42,True
"29128-36914","20190605_29128-36914.pdf",896,5017,Fretz_Format,2,True
"29253-29254","20180424_29253-29254.pdf",1793,6514,Fretz_Format,7,True
"29259-29349","20190411_29259-29349.pdf",2127,14633,Fretz_Format,25,True
"29260-29259","20190411_29260-29259 DP.pdf",475,0,Scan_or_Empty,0,False
"29270-36712","20230825_29270-36712.pdf",7422,33049,IKAS_Normal,34,True
"29276-29569","20190411_29276-29569 DP.pdf",479,0,Scan_or_Empty,0,False
"29286-37264","20180424_29286-37264.pdf",2304,10787,Fretz_Format,19,True
"29287-29253","20180424_29287-29253.pdf",1150,6593,Fretz_Format,7,True
"29288-29253","20180424_29288-29253.pdf",2046,6502,Fretz_Format,7,True
